num_groups,pool_size,cumInfections_naive_mean,cumInfections_naive_sem,cumInfections_correlated_mean,cumInfections_correlated_sem,cumInfections_correlated_weak_mean,cumInfections_correlated_weak_sem,cum_num_tests_naive_mean,cum_num_tests_naive_sem,cum_num_tests_correlated_mean,cum_num_tests_correlated_sem,cum_num_tests_correlated_weak_mean,cum_num_tests_correlated_weak_sem,daily_effective_efficiency_naive_mean,daily_effective_efficiency_naive_sem,daily_effective_efficiency_correlated_mean,daily_effective_efficiency_correlated_sem,daily_effective_efficiency_correlated_weak_mean,daily_effective_efficiency_correlated_weak_sem
3,15,2563.572864321608,20.359469722307388,2392.592964824121,24.128688709666942,2451.753768844221,23.384162775485162,54517.53266331658,233.4747355693719,41645.115577889446,189.4878272924219,46266.19095477387,218.70184223636718,0.0417395388175866,0.0005317675726373366,0.051451278691724146,0.0009379670996913088,0.0472559982065192,0.0007591314250603864
3,20,2861.924623115578,19.00565630520626,2481.8040201005024,19.11962431874769,2620.427135678392,21.865532807628785,60811.77386934673,258.3628082251253,42041.12060301508,184.0467878781903,48565.34673366834,246.32776246229912,0.041103944393396354,0.0004427246294037447,0.05244266047813326,0.0008643950641629406,0.04768558001321317,0.0006799907934169655
4,5,2582.678391959799,20.851995444012573,2407.532663316583,23.01914952089975,2502.9849246231156,20.88012023371077,60760.738693467334,85.52271266869737,55865.36180904523,54.98917708719922,57870.52763819096,64.84955717101028,0.03965665402883635,0.0007902253933216651,0.040825081432296864,0.0009642479781773946,0.0407056993610373,0.0008974150393053058
4,10,2837.35175879397,20.283923986337758,2541.070351758794,21.397856591500855,2615.1306532663316,20.76979264479828,49040.4824120603,160.13355196377094,38422.874371859296,111.40951461259259,41963.693467336685,129.71477022920624,0.05137735666391039,0.0007152307706867231,0.06013300027323865,0.0011606331511449567,0.05612116624851524,0.0009783677009397467
4,15,3294.6281407035176,19.593372945391195,2723.854271356784,21.5437061743183,2953.3768844221104,18.853788613088984,53870.98492462312,196.45984200715606,36895.15577889447,156.58773482543313,42894.90452261306,156.2408875884297,0.05187527331214979,0.000560233939415047,0.06585816518258608,0.0011145413526283782,0.06043525671021879,0.0008526636786974734
4,20,3737.889447236181,14.617188518896674,2941.7939698492464,20.38646249560031,3194.3768844221104,20.01060066656903,61373.56281407035,158.68733622286354,39410.53768844221,176.0705378767968,46597.14070351759,194.67332177925772,0.04953402231215974,0.0004982856320213866,0.06576660975602225,0.0010263764429147794,0.0591121840518781,0.0007681391168857321
5,5,2907.040201005025,20.903518300672065,2655.396984924623,19.74502013306264,2759.3718592964824,21.536452959825006,52437.81909547739,86.45064433952778,46564.60301507538,48.31247423584014,48833.89949748744,67.80833689533537,0.05100667408791739,0.000933049601404102,0.05383133757627369,0.0011973241494317175,0.05276609356590927,0.0011064240038853028
5,10,3695.0804020100504,15.64039570240585,2944.7236180904524,18.70699208153377,3205.1356783919596,17.780047351912952,48119.52763819096,105.10252419858581,34483.05025125628,88.12816236850418,39165.53768844221,100.66760062583307,0.0639637511925144,0.0007693801614852023,0.07648946212184345,0.0013790442728161645,0.07163983189238449,0.0010876093970494049
5,15,4195.934673366834,13.457190779924337,3192.577889447236,19.161507781753244,3542.7939698492464,16.85905252615025,53326.020100502516,108.26804953791152,34676.17085427135,117.95056606455351,41166.4472361809,120.84999456279937,0.06099723940489361,0.0006406382072937263,0.08047264674242799,0.0012906832393372533,0.07283616690768575,0.0009636302401404514
5,20,4446.005025125628,11.82595836839565,3398.5125628140704,17.2687780820491,3777.994974874372,15.677334562010792,58432.28643216081,111.01067365420302,37498.75879396985,127.9838697458723,45026.34673366834,130.25126327528827,0.056738416802701884,0.0005943668461780751,0.07825384096620391,0.0011944510182686694,0.06930136230020258,0.0008889950832900422
